#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
TRIM25	ENSG00000121060.18	ENSG00000121060.18:t:56908747-56908877	0.267061776553529;-0.11988679053185358;-0.036412460289594044	0.7569640526207831;0.2295518615575645;0.051758546827706614	1.6293272218064043e-06;6.752428750989026e-05;0.00022440917410504468	0.011;0.328;0.661	0.321;0.123;0.554	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;0;0	chr17	-	56908877-56913392;56908877-56912105;56908878-56912104	56908747-56908877;56912105-56912165;56913392-56914080	56908878-56912104	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A56914080-56908747
MEG3	ENSG00000214548.18	ENSG00000214548.18:s:100829611-100829787	-9.940732114610274e-05;0.0029084893781129288;0.2283592239036938;-0.07955461835896857;-9.940732114610274e-05;-9.940732114610274e-05;-0.07420538260628759	1.5505512176549373e-06;1.7810284377274367e-05;0.6113245088293225;0.0577833138427194;1.5505512176549373e-06;1.5505512176549373e-06;0.121060645297598	0.004365574496261182;0.0031481497157233654;9.277399619420128e-06;0.00014454454402401673;0.004365574496261182;0.004365574496261182;0.0001261693390266494	0.005;0.005;0.037;0.167;0.005;0.005;0.777	0.004;0.029;0.308;0.029;0.004;0.004;0.624	s|1e1.2o3|1e1.3o3|1e2.1o6|1e3.2o2|1e4.1o1|2e5.1o6|i	True	True	True	7	6	1;1;1;1;1;1;0	chr14	+	100829749-100830968;100829749-100831016;100829749-100831421;100829749-100832512;100829749-100836167;100829787-100831421;100829788-100830604	100829611-100829787;100830605-100831094;100831421-100831534;100832064-100832641;100836167-100836300	100829788-100830604	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A100836300-100829611
CELSR2	ENSG00000143126.8	ENSG00000143126.8:t:109270824-109271039	0.2459152679189988;-0.2459153144860936	0.6602999283361661;0.660299898621856	8.820155989742399e-05;8.820601829495622e-05	0.055;0.945	0.356;0.644	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr1	+	109270133-109270927;109270600-109270927	109269933-109270133;109270426-109270600;109270824-109271039		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A109271039-109269933
FOXL2NB	ENSG00000206262.9	ENSG00000206262.9:t:138949512-138949639	0.3830403520463783;-0.006562450073032363;-0.06825263488870549;-0.11692769910356084	0.9408601675108152;0.00021663502390959383;0.06717211959302552;0.240550653346275	4.253976185115708e-06;0.0015698231600794754;0.00015119141330521835;7.682782615714423e-05	0.078;0.043;0.219;0.659	0.478;0.005;0.080;0.438	t|1e1.1o1|1e2.1o1|2e3.1o1|i	False	True	True	4	4	1;1;1;0	chr3	+	138947464-138949512;138948007-138949512;138947464-138949520;138948008-138949511	138947217-138947464;138947612-138948007;138949512-138949639	138948008-138949511	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A138949639-138947217
FKTN	ENSG00000106692.15	ENSG00000106692.15:s:105619906-105622823	0.16609412910546026;-0.20037684650741455;0.0037061169787977123	0.3889667890712769;0.502679779878714;2.3340565831338476e-05	0.00019205036470156586;0.00015225704799115558;0.004866712385000541	0.286;0.708;0.006	0.535;0.430;0.033	s|1e1.1o1|1e2.1o1|2e3.1o1	True	False	True	3	4	1;1;1	chr9	+	105620061-105623050;105620061-105635051;105620092-105623050	105619906-105622823;105623050-105623221;105635051-105636200		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A105636200-105619906
FKTN	ENSG00000106692.15	ENSG00000106692.15:t:105574945-105575018	-0.001777116408129174;0.19212909592709715;-0.32370049148622576;0.07133336019309383	1.2815277540837474e-05;0.4597606704380276;0.8632407310830069;0.09163769415484245	0.0066785791449121;4.864072220567163e-05;4.257441635113768e-05;0.0003998469743450757	0.042;0.042;0.627;0.288	0.036;0.257;0.278;0.425	t|1e1.1o2|1e2.1o1|1e3.1o2|1e3.2o2	True	False	True	4	4	1;1;1;1	chr9	+	105558165-105574945;105573746-105574945;105574278-105574945;105574332-105574945	105558122-105559109;105573653-105573746;105574198-105574332;105574945-105575018		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A105575018-105558122
ITSN2	ENSG00000198399.15	ENSG00000198399.15:t:24315132-24315224	0.16891279318932242;-0.2450052510859412;0.026033511905667914	0.3700942882438036;0.7151769463794371;0.00016724720288660536	0.00011291598019362098;1.8653047677119616e-05;0.0022890123527449764	0.649;0.331;0.020	0.861;0.062;0.077	t|1e1.1o1|1e2.1o1|2e3.1o1	False	True	True	3	4	1;1;0	chr2	-	24315224-24328052;24315224-24321814;24315221-24328052	24315132-24315224;24321814-24321880;24328052-24328100		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A24328100-24315132
AP000944.5	ENSG00000285816.1	ENSG00000285816.1:s:65279538-65279626	0.00022746208849729822;-0.2107622572248885;0.20659245035289564	4.818961683397833e-21;0.5887491291024309;0.558430773205419	0.4745067936661371;3.511139767820026e-07;5.71609591375078e-07	0.027;0.873;0.101	0.032;0.647;0.319	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr11	+	65279626-65279732;65279626-65280992;65279627-65279731	65279538-65279626;65279732-65279787;65280992-65281147	65279627-65279731	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A65281147-65279538
NUDT19	ENSG00000213965.3	ENSG00000213965.3:s:32691961-32692674	-0.11871378171341326;-0.059504874936843165;0.29566785362884307	0.21429946725430887;0.09049782993790256;0.8505381078631328	6.542828433409031e-05;0.00015587495564783893;6.231797896187041e-07	0.349;0.641;0.009	0.158;0.506;0.340	s|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr19	+	32692674-32698454;32692674-32709185;32692675-32698453	32691961-32692674;32698454-32698715;32709185-32709392	32692675-32698453	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A32709392-32691961
HYKK	ENSG00000188266.14	ENSG00000188266.14:s:78514968-78515107	-0.26728560152913805;0.2672855742092712	0.6946316985272497;0.6946317320640145	0.00010406635798998476;0.00010406096908172069	0.483;0.517	0.155;0.845	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr15	+	78515107-78518588;78515107-78527380	78514968-78515107;78518588-78518773;78527380-78528801		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A78528801-78514968
C2CD3	ENSG00000168014.17	ENSG00000168014.17:t:74168014-74168613	0.3039432912593808;-0.3039432842480384	0.8475467346492987;0.8475467423095134	1.0439929293307392e-05;1.0440439116576883e-05	0.013;0.987	0.360;0.640	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr11	-	74168613-74171030;74168613-74170738	74168014-74168613;74170738-74171019;74171030-74171210		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A74171210-74168014
PPP1R13L	ENSG00000104881.16	ENSG00000104881.16:t:45398264-45398339	0.2195509713714203;-0.21186580378217612;-0.0006828310808316758	0.5468994946230287;0.525124244474119;1.1045211809460432e-05	0.0001772612466551613;0.00018376413506915323;0.005212425243486418	0.367;0.622;0.012	0.669;0.324;0.006	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr19	-	45398339-45406292;45398339-45404999;45398339-45401999	45398264-45398339;45401999-45402124;45404999-45405081;45406292-45406349		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A45406349-45398264
FBH1	ENSG00000134452.20	ENSG00000134452.20:s:5894386-5894511	0.2238701727277314;-0.22387017223781117	0.5394614918351234;0.5394616286999406	3.9406732487325645e-05;3.940810091518365e-05	0.257;0.743	0.579;0.421	s|1e1.1o1|i	False	False	False	2	2	1;0	chr10	+	5894511-5895056;5894512-5895055	5894386-5894511;5895056-5895187	5894512-5895055	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A5895187-5894386
LIG4	ENSG00000174405.14	ENSG00000174405.14:s:108218162-108218368	0.3036418467844469;-0.010836876913863628;-0.21343203928877902	0.7821249942767768;0.0010781342687042935;0.5336187855913463	1.4941822809471793e-05;0.00097412270286934;3.35825917593402e-05	0.103;0.059;0.839	0.445;0.007;0.548	s|1e1.1o4|1e2.1o2|i	False	False	True	3	3	0;1;0	chr13	-	108215743-108218162;108211296-108218162;108215744-108218161	108207439-108211296;108215484-108215743;108218162-108218368	108215744-108218161	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A108218368-108207439
FAM76B	ENSG00000077458.13	ENSG00000077458.13:s:95779489-95779687	0.0976425244031128;-0.219580004963095;0.1063631871721577	0.06904214066111279;0.6103991087418045;0.007620958183640059	0.0002352088458500326;2.703629197919888e-05;9.697065316376505e-05	0.168;0.802;0.030	0.287;0.570;0.141	s|1e1.3o3|1e2.1o2|1e2.2o2	False	True	True	3	3	1;1;1	chr11	-	95779135-95779607;95778957-95779607;95778954-95779607	95778822-95778957;95779078-95779219;95779489-95779687		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A95779687-95778822
NT5M	ENSG00000205309.14	ENSG00000205309.14:s:17303335-17303901	0.2083955678786151;-0.026036511608451364;-0.0008756823720203665;-0.0834006398834902	0.5615117145744043;0.017496556922452576;0.0014368232150079642;0.11538066040276057	2.8213189047439816e-06;0.0003423253609021737;0.0008271680465322673;0.00010694088161378179	0.029;0.381;0.169;0.423	0.262;0.309;0.164;0.264	s|1e1.1o1|1e2.1o1|2e2.1o1|i	True	False	True	4	3	1;1;1;0	chr17	+	17303817-17304364;17303817-17306543;17303901-17306543;17303902-17304363	17303335-17303901;17304364-17304481;17306543-17306643	17303902-17304363	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A17306643-17303335
CRAT	ENSG00000095321.17	ENSG00000095321.17:t:129107334-129108077	-0.00036654191723405614;-0.2549858595662645;0.2152608845291336;0.007816506926872357;-0.00036654191723405614	7.823221055235599e-06;0.7402231826086565;0.5685006275511001;6.973204710077039e-05;7.823221055235599e-06	0.005198201332340613;3.89178265266521e-05;1.7725272270868134e-05;0.00375444774209905;0.005198201332340613	0.008;0.970;0.008;0.008;0.008	0.004;0.675;0.268;0.049;0.004	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	False	False	True	5	6	1;1;1;1;1	chr9	-	129108077-129110958;129108077-129110483;129108077-129109179;129108077-129108763;129108077-129108408	129107334-129108077;129108408-129108478;129108763-129108903;129109179-129109277;129110483-129110793;129110958-129111189		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A129111189-129107334
SELENOI	ENSG00000138018.18	ENSG00000138018.18:t:26383299-26383347	0.002158641311014069;-0.2735286584162733;0.24335175248141738	1.1814865724229144e-05;0.7104609160852173;0.6242510875167581	0.006188930050762931;9.833439968309765e-05;0.00012701613333685044	0.011;0.493;0.497	0.029;0.161;0.810	t|1e1.1o1|1e2.2o2|1e3.1o1	False	False	True	3	4	1;0;1	chr2	+	26367220-26383299;26373629-26383299;26375148-26383299	26367146-26367220;26373367-26373629;26375040-26375148;26383299-26383347		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A26383347-26367146
CAND2	ENSG00000144712.12	ENSG00000144712.12:t:12839349-12839530	-0.029003612918016633;-0.120831322086662;-0.04290548763952784;0.23704084331537043	0.0007707306374113358;0.1541104447245346;0.004647150224009452;0.5599167388820776	0.0008162448061705962;7.978521547191697e-05;0.00043885439233537493;2.952400475347535e-05	0.073;0.164;0.102;0.659	0.025;0.029;0.036;0.910	t|1e1.1o1|1e2.1o1|2e3.1o1|i	False	True	True	4	4	0;0;0;0	chr3	+	12836226-12839349;12836235-12839349;12836222-12839435;12834805-12839348	nan-12836222;nan-12836226;nan-12836235;12839349-12839530	12834805-12839348	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A12839530-12836212
UNC50	ENSG00000115446.12	ENSG00000115446.12:s:98609643-98610039	-0.002483878848628231;-0.25493650273483043;0.2771227223374094	2.056825030337919e-10;0.7791128844975657;0.8683995393182957	0.05919937986642276;6.716186419231107e-07;1.3798435962932254e-07	0.034;0.823;0.141	0.015;0.559;0.426	s|1e1.1o1|1e2.2o2|i	False	False	True	3	3	0;1;0	chr2	+	98610039-98610161;98610039-98610775;98610040-98610160	98609643-98610039;98610161-98610275;98610514-98610895	98610040-98610160	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A98610895-98609643
AC093515.1	ENSG00000260289.2	ENSG00000260289.2:t:na-7950362	0.23778961936809273;-0.23778960039832905	0.6234422832451348;0.6234422201228784	0.00012213567371806332;0.00012214176539060428	0.094;0.906	0.399;0.601	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr16	-	7950362-8007145;7950362-7959309	nan-7950362;7959309-nan;8007145-8007224		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A8007224-7950352
SLC25A1	ENSG00000100075.10	ENSG00000100075.10:s:19178133-19178240	0.23108663715263722;-0.23108663412844516	0.6749885067724757;0.6749883454928487	7.438707870405328e-06;7.439086202931655e-06	0.717;0.283	0.962;0.038	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr22	-	19178041-19178133;19177204-19178133	19177120-19177204;19177942-19178041;19178133-19178240		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A19178240-19177120
AL133352.1	ENSG00000255339.6	ENSG00000255339.6:t:100516874-100516960	0.11527499213093607;0.03116683319030112;-0.000290457461249347;-0.21579707883946914	0.1911219247016006;0.05004402553998285;2.303243998624232e-05;0.5109750305262618	6.24428435511172e-05;0.00023793515643100172;0.002515890332860593;1.9582260928574513e-05	0.053;0.654;0.011;0.281	0.240;0.743;0.008;0.008	t|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;1;1;0	chr10	-	100516960-100526975;100516960-100526399;100516960-100523977;100516961-100523976	100516874-100516960;100523977-100524139;100526399-100526554;100526975-100527074	100516961-100523976	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A100527074-100516874
IRAK4	ENSG00000198001.14	ENSG00000198001.14:t:43772180-43772362	-0.00012052132619064462;0.20073558124049448;-0.1973743971747166	2.921973826507057e-08;0.516223453614217;0.5007831201304663	0.02089413173860577;6.425895007647659e-05;7.004353350514858e-05	0.006;0.101;0.893	0.004;0.335;0.660	t|1e1.1o1|1e2.1o2|1e3.2o2	False	False	True	3	4	1;1;1	chr12	+	43759016-43772180;43768272-43772180;43771365-43772180	43758944-43759016;43768103-43768592;43771220-43771365;43772180-43772362		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A43772362-43758944
BORA	ENSG00000136122.18	ENSG00000136122.18:t:72734960-72735005	-0.18349740855532026;0.242869211088127;-0.020800304354870867	0.439125642634657;0.6526508430483897;0.00530995569386109	2.3687539965955295e-05;1.2277439541097358e-05;0.0005110700200186002	0.463;0.341;0.196	0.220;0.632;0.146	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;1;0	chr13	+	72729093-72734960;72731387-72734960;72731388-72734959	72728926-72729093;72731281-72731387;72734960-72735005	72731388-72734959	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A72735005-72728926
MIR3681HG	ENSG00000224184.6	ENSG00000224184.6:s:12570020-12570255	-0.025125607657787402;0.016746856196003905;-0.23969170306670706;0.24376676466841762	0.00042781861447146677;3.310420159815065e-07;0.6940053116460696;0.6993884455929893	0.000845356911361117;0.006764199355934336;2.284408649910752e-06;3.6825006788436817e-06	0.101;0.015;0.425;0.457	0.050;0.057;0.153;0.740	s|1e1.1o1|1e2.1o1|1e3.1o1|i	False	False	True	4	4	0;0;0;0	chr2	+	12570255-12572022;12570255-12572057;12570255-12572208;12570256-12576816	12570020-12570255;12572022-nan;12572057-nan;12572208-nan	12570256-12576816	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A12572218-12570020
ZNF460	ENSG00000197714.9	ENSG00000197714.9:t:57284551-57284677	0.2211776465176876;-0.2240409290317753;0.00020162687315194723	0.5671888326171769;0.5762341059902256;8.322074747415861e-07	0.00014192819099686756;0.0001389712263238918;0.009919307180219633	0.384;0.609;0.007	0.679;0.312;0.009	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr19	+	57280124-57284551;57280836-57284551;57281967-57284551	57280051-57280124;57280485-57280836;57281887-57281967;57284551-57284677		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A57284677-57280051
LINC02573	ENSG00000233236.1	ENSG00000233236.1:s:20258552-20258820	-0.22084121999976603;0.2208412657195294	0.6042328405157514;0.604233051874338	4.62485731708151e-05;4.62460133538071e-05	0.882;0.118	0.628;0.372	s|1e1.1o2|1e1.2o2	False	True	False	2	2	1;0	chr21	-	20257346-20258552;20257343-20258552	20256752-20257346;20258552-20258820		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A20258820-20256752
OR51B5	ENSG00000167355.8	ENSG00000167355.8:s:5505560-5505652	-4.2709389016853565e-10;-2.715107087876249e-09;-0.04590221835629921;7.771559912558427e-16;-4.463161231761683e-08;-0.03635148542276293;-0.0720747385955306;-0.11948025770083588;-0.0960694245030377;7.771559912558427e-16;-0.00013086380054857724;-0.0032927630479282774;-2.715107087876249e-09;0.4432973236742854	4.711629448983779e-21;4.711629238768518e-21;1.4644440438250777e-20;4.711629488223859e-21;4.711642939458932e-21;3.1244488529001564e-12;6.492684690670516e-05;0.020969752382731056;0.00014718855598802426;4.711629488223859e-21;4.7397670485446055e-21;5.4195136180121054e-21;4.711629238768518e-21;1.0	0.6849483864297269;0.5248119357251467;0.010597902655910763;0.9999999968888909;0.4783266776268953;0.010621963460111128;0.0002621676550562668;4.074767355488618e-05;6.608568545785065e-05;0.9999999968888909;0.4750011388962663;0.47440119392893354;0.5248119357251467;1.0806736602547823e-19	0.010;0.012;0.076;0.002;0.015;0.123;0.218;0.270;0.183;0.009;0.030;0.042;0.012;0.000	0.001;0.003;0.037;0.009;0.008;0.082;0.136;0.141;0.083;0.001;0.007;0.019;0.006;0.448	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.2o2|1e9.1o1|1e10.1o1|1e11.1o1|1e12.1o1|2e13.1o1|i	True	False	True	14	14	0;0;0;0;0;0;1;0;0;0;0;0;0;0	chr11	-	5505452-5505569;5455170-5505569;5451048-5505569;5443033-5505569;5434622-5505569;5433830-5505569;5346910-5505569;5346353-5505569;5345899-5505569;5316464-5505569;5305677-5505569;5304477-5505569;5346910-5505560;5505453-5505559	nan-5316464;nan-5443033;nan-5455170;5303444-5304477;5305167-5305677;5345773-5345899;5346262-5346387;5346876-5346910;5433708-5433830;5434567-5434622;5450994-5451048;5505351-5505452;5505560-5505652	5505453-5505559	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A5505652-5303444
VTI1A	ENSG00000151532.14	ENSG00000151532.14:s:112446998-112447467	0.05185938115424438;-0.26867081397618675;0.1691631318881638	0.0006685997138818094;0.775666721491193;0.3822606238682334	0.0010638795520917122;3.479285446250646e-05;0.00012413590791511575	0.015;0.642;0.342	0.096;0.346;0.555	s|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr10	+	112447467-112448382;112447467-112448882;112447467-112460524	112446998-112447467;112448382-112448489;112448882-112450726;112460524-112460582		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A112460582-112446998
CDK16	ENSG00000102225.16	ENSG00000102225.16:t:47223552-47223604	0.005023121711934544;0.08924369467161193;-0.21674063634901544;0.04674275830165432;-1.602579529087376e-05	5.535817915186996e-09;0.1084175735745401;0.5849834269173856;0.0001562489038470028;4.9427660094288855e-21	0.035267331751502824;0.00029939175520877614;5.73628833241413e-05;0.0010708582778990602;0.07242294708109476	0.003;0.446;0.520;0.028;0.003	0.041;0.586;0.270;0.099;0.002	t|1e1.1o1|1e2.1o1|1e3.2o3|1e3.3o3|1e4.1o1	True	False	True	5	5	1;1;1;1;1	chrX	+	47218664-47223552;47219105-47223552;47222342-47223552;47222380-47223552;47223311-47223552	47218233-47218664;47218681-47219105;47222132-47222380;47222853-47223311;47223552-47223604		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A47223604-47218233
EPHB6	ENSG00000106123.12	ENSG00000106123.12:t:142862756-142862833	-0.2086876683583405;0.20868765084215174	0.5413270988437345;0.5413272409374781	0.00010541976453126711;0.00010541402368291508	0.664;0.336	0.404;0.596	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr7	+	142861186-142862756;142862133-142862756	142861052-142861186;142862000-142862133;142862756-142862833		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A142862833-142861052
USPL1	ENSG00000132952.12	ENSG00000132952.12:t:30621764-30621892	-0.352346228158306;0.3523462489254863	0.7755104784034346;0.7755104500585023	0.00017600753629953836;0.00017599966692351428	0.763;0.237	0.337;0.663	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr13	+	30618056-30621764;30621239-30621764	30617693-30618056;30621073-30621239;30621764-30621892		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A30621892-30617693
